window_start,window_end,metric,dimension,value,unit,sample_size,source
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_duration_avg_ms,all,532582.14,ms,7,inline_auto_assign.quote_result
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_duration_p50_ms,all,8839,ms,7,inline_auto_assign.quote_result
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_duration_p90_ms,all,1479885.2,ms,7,inline_auto_assign.quote_result
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_duration_p95_ms,all,2576035.1,ms,7,inline_auto_assign.quote_result
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_email_duplicates,all,0,count,0,auto_assign.email_duplicate_blocked
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_success_event_count,all,1,count,1,inline_auto_assign.succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_success_rate_pct,all,100,pct,7,inline_auto_assign.quote_result
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_timeout_event_count,all,5,count,5,inline_auto_assign.timeout
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,inline_timeout_pct,all,83.33,pct,6,inline_auto_assign.timeout/succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_attempts_avg,all,,attempts,0,auto_assign.attempt
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_attempts_max,all,,attempts,0,auto_assign.attempt
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_attempts_p50,all,,attempts,0,auto_assign.attempt
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_attempts_p90,all,,attempts,0,auto_assign.attempt
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_attempts_p95,all,,attempts,0,auto_assign.attempt
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_attempts_sample_size,bookings,0,count,0,auto_assign.attempt
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_failed_count,all,2,count,2,auto_assign.failed
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_failure_rate_pct,all,40,pct,5,auto_assign.failed/started
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_hard_stop_count,all,0,count,0,auto_assign.hard_stop
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_started_count,all,5,count,5,auto_assign.started
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_succeeded_count,all,3,count,3,auto_assign.succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_success_duration_avg_ms,all,19016.33,ms,3,auto_assign.succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_success_duration_max_ms,all,26411,ms,3,auto_assign.succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_success_duration_p50_ms,all,16132,ms,3,auto_assign.succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_success_duration_p95_ms,all,25383.1,ms,3,auto_assign.succeeded
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,job_success_rate_pct,all,60,pct,5,auto_assign.succeeded/started
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_cache_hit_pct,all,,pct,0,auto_assign.quote
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_duration_avg_ms,all,,ms,0,auto_assign.quote
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_duration_max_ms,all,,ms,0,auto_assign.quote
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_duration_p50_ms,all,,ms,0,auto_assign.quote
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_duration_p90_ms,all,,ms,0,auto_assign.quote
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_duration_p95_ms,all,,ms,0,auto_assign.quote
2025-11-08 00:00:00+00,2025-11-10 00:00:00+00,planner_duration_p99_ms,all,,ms,0,auto_assign.quote
