window_start,window_end,metric,dimension,value,unit,sample_size,source
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_duration_avg_ms,all,95669.93,ms,14,inline_auto_assign.quote_result
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_duration_p50_ms,all,123972,ms,14,inline_auto_assign.quote_result
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_duration_p90_ms,all,198370.5,ms,14,inline_auto_assign.quote_result
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_duration_p95_ms,all,207984.1,ms,14,inline_auto_assign.quote_result
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_email_duplicates,all,0,count,0,auto_assign.email_duplicate_blocked
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_success_event_count,all,0,count,0,inline_auto_assign.succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_success_rate_pct,all,42.86,pct,14,inline_auto_assign.quote_result
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_timeout_event_count,all,13,count,13,inline_auto_assign.timeout
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,inline_timeout_pct,all,100,pct,13,inline_auto_assign.timeout/succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_attempts_avg,all,2.63,attempts,8,auto_assign.attempt
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_attempts_max,all,11,attempts,8,auto_assign.attempt
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_attempts_p50,all,1,attempts,8,auto_assign.attempt
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_attempts_p90,all,5.4,attempts,8,auto_assign.attempt
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_attempts_p95,all,8.2,attempts,8,auto_assign.attempt
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_attempts_sample_size,bookings,8,count,8,auto_assign.attempt
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_failed_count,all,12,count,12,auto_assign.failed
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_failure_rate_pct,all,80,pct,15,auto_assign.failed/started
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_hard_stop_count,all,0,count,0,auto_assign.hard_stop
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_started_count,all,15,count,15,auto_assign.started
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_succeeded_count,all,0,count,0,auto_assign.succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_success_duration_avg_ms,all,,ms,0,auto_assign.succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_success_duration_max_ms,all,,ms,0,auto_assign.succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_success_duration_p50_ms,all,,ms,0,auto_assign.succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_success_duration_p95_ms,all,,ms,0,auto_assign.succeeded
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,job_success_rate_pct,all,0,pct,15,auto_assign.succeeded/started
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_cache_hit_pct,all,,pct,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_duration_avg_ms,all,,ms,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_duration_max_ms,all,,ms,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_duration_p50_ms,all,,ms,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_duration_p90_ms,all,,ms,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_duration_p95_ms,all,,ms,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,planner_duration_p99_ms,all,,ms,0,auto_assign.quote
2025-11-12 00:00:00+00,2025-11-13 00:00:00+00,reason_share_pct,transient.hold_conflict,100,pct,21,auto_assign.attempt
